id,grantee_type,grantee_id,target_type,target_id
90167,Employees,60035,Roles,fea5dc09-129b-5d3e-9b0e-b1232995352e
90201,Employees,50203,Roles,eea4674c-cf17-5716-b7e6-930827b3d772
90232,Employees,34932,Roles,43b53344-b24d-592b-8e8b-ac7ca8716fcc
90283,Employees,54218,Roles,8101a2e9-e686-5477-9067-17ffad2fc4a7
90471,Employees,50734,Roles,abae0f3d-a28d-5c28-8fe7-8faa56d41b49
90746,Employees,54197,Roles,eacbba53-675a-52bb-9360-2d80f58b909c
90894,Employees,68176,Roles,76882364-f4d6-5641-ace0-51fc08084cb4
91403,Employees,34802,Roles,6edd7829-a183-59d3-afa5-73ecbe60ba01
91420,Employees,67941,Roles,d7211f15-32e2-51c1-a070-58abcedb4e75
91525,Employees,48677,Roles,54634f36-58c9-5cf2-a007-78b4ec694fe1
91648,Employees,40590,Roles,9ee1f2c0-9cbe-5d35-92ba-ec2d1b894e2f
91681,Employees,32742,Roles,618009a5-3546-5ac5-8ea4-2eac170b2128
91959,Employees,62017,Roles,b85d24e1-f38e-51c1-a64a-2a9ea78cad76
91977,Employees,43343,Roles,428d03a6-4da4-5145-8706-d5945342ae66
92069,Employees,58167,Roles,b4188e9f-74d3-5fdb-b4bb-31ee19097f4d
92074,Employees,65756,Roles,70b70614-47d7-5434-a214-4ab1674e235d
92940,Employees,30634,Roles,0487bdfa-a05c-5184-8e56-0e76513b7715
92980,Employees,50591,Roles,16510424-af6f-56b3-85f7-daca048e2cc2
93034,Employees,33330,Roles,4820cbae-ef8a-566c-8414-53916e8ce3dc
93131,Employees,36553,Roles,2dc702c4-3bbd-5f18-8b7e-04fc14c0c7c8
93139,Employees,36049,Roles,8de019fd-08b9-58e8-a6ae-98b4dd73665d
93156,Employees,47301,Roles,b5539b90-63ec-5e21-aaa4-558b55bb15d3
93181,Employees,58957,Roles,779d583c-28be-56f9-a944-a12e82175cee
93476,Employees,47408,Roles,4b7b19e3-84c2-5231-b1da-ffeab16bbec9
93546,Employees,57760,Roles,7393717d-3c3b-564e-bf22-be20c45578a6
93631,Employees,58717,Roles,afadba39-8ef7-5651-b227-4e2ce35384fd
93728,Employees,58029,Roles,755ce9de-6c01-5381-964d-4f44056288ee
93778,Employees,52472,Roles,1ebbb068-899a-5743-b732-2393cef969e1
93938,Employees,38681,Roles,beabc0ea-5ec0-5694-90b0-d8a6605a2011
93955,Employees,65235,Roles,bc0d14f3-b0bf-5d7e-9841-ae8fd73ee208
93987,Employees,49826,Roles,2b37ef0d-bc5e-569c-8f56-a742b963376c
93996,Employees,35373,Roles,130c27b4-93fd-5cee-8da1-3e3734e18c5e
94023,Employees,46136,Roles,8522c24d-e843-5abe-92df-3242e5b2ffb9
94119,Employees,43804,Roles,420ef55e-f321-51e0-af67-a2907fa3abcd
94233,Employees,38578,Roles,104737a0-2dda-5d87-ad00-382a8f0ad35c
94398,Employees,37857,Roles,e5654bf7-197e-5a91-b093-8062bdf3c44e
94426,Employees,42179,Roles,a684fc77-d2c4-5809-943c-ef5a800b78fb
94439,Employees,48466,Roles,d88fcfc6-69a4-5b40-8960-e4df1e883b3e
94495,Employees,32362,Roles,c7850de1-a36f-542e-b91d-ece6e4a6fd63
94527,Employees,34755,Roles,5963c0dd-8880-5acf-afe3-c0e7d2f2b0b9
94531,Employees,32890,Roles,38715d34-7f97-5ec9-9d3a-7e1a8127939e
94570,Employees,68963,Roles,8d8789c1-c0f5-5991-a325-5b8a2c6d4ec7
94582,Employees,59965,Roles,f888a76f-c2e4-50b9-852f-e390171f15ab
94637,Employees,47168,Roles,eaca279b-b36b-53fa-9f19-8f2a5f241ee0
94659,Employees,32615,Roles,88615b16-9f23-5902-bede-b48c9bbbd014
94787,Employees,47168,Divisions,374
94821,Employees,47301,Divisions,397
94854,Employees,47333,Divisions,449
94953,Employees,47381,Divisions,468
95017,Employees,47408,Divisions,480
95024,Employees,47849,Divisions,530
95170,Employees,48133,Divisions,565
95281,Employees,48466,Divisions,647
95326,Employees,48677,Divisions,666
95420,Employees,49621,Divisions,704
95512,Employees,49661,Divisions,719
95577,Employees,49826,Divisions,744
95633,Employees,50203,Divisions,764
95765,Employees,50591,Divisions,787
95814,Employees,50721,Divisions,815
95913,Employees,37015,Professions,1010
96047,Employees,37565,Professions,1772
96210,Employees,38353,Professions,2134
96626,Employees,38578,Professions,2797
96659,Employees,38801,Professions,3061
96972,Employees,39769,Professions,3505
97137,Employees,40339,Professions,3706
97343,Employees,42179,Professions,4471
97386,Employees,43387,Professions,4924
97435,Employees,43970,Professions,5120
97614,Employees,45643,Professions,5372
97617,Employees,46136,Professions,6039
97691,Employees,47090,Professions,6314
97754,Employees,47301,Professions,7127
97801,Employees,47381,Professions,7538
97922,Employees,38574,Staffs,10071
97934,Employees,40339,Staffs,11030
97989,Employees,45415,Staffs,11864
98005,Employees,47301,Staffs,11930
98042,Employees,48677,Staffs,12209
98043,Employees,50734,Staffs,12626
98099,Employees,54218,Staffs,13209
98465,Employees,58717,Staffs,14594
98596,Employees,64262,Staffs,15450
98699,Employees,66257,Staffs,16240
98752,Staffs,20277,Roles,f41fd823-8ddd-5fad-adce-7c173f9b469a
98780,Staffs,21119,Roles,a2841e6b-16a7-5295-9d36-26e0ccc46728
98818,Employees,34491,Roles,9a559752-b80a-503d-8cab-1c77cff5acae
99018,Staffs,23318,Roles,fb4b1440-8ca3-5c05-9deb-fdfaea7ad16f
99067,Staffs,23825,Roles,9508f660-675b-5042-b7be-b6d25b4b3f56
99069,Staffs,24125,Roles,5e093501-94ff-5285-b426-e6b7c9bc08be
99097,Staffs,24910,Roles,7b09499c-1cfe-573d-b0e9-244fce256fa8
99107,Staffs,25489,Roles,f32f8f08-9efe-5eb1-a181-dd88260c8ff4
99337,Divisions,882,Roles,98b51431-1fd7-5b29-ac73-a6a65eb078e5
99406,Divisions,914,Roles,480cb14f-758e-524a-8bf5-6acb757461af
99529,Divisions,927,Roles,7e7061d7-5a3e-574c-b332-8990a3c25dd0
99660,Divisions,948,Roles,af9ce463-3509-5531-88ac-ba38ffd46f9f
99708,Divisions,964,Roles,6a7b25d8-7523-536e-8c32-46898d4a81a9
99768,Divisions,978,Roles,b61cf33d-1f30-529c-88a8-c8ae589a68c8
99778,Divisions,986,Roles,884e524a-e759-51e6-9235-0cfbef66f48b
